term,id,loan_amnt,home_ownership,emp_length,annual_inc,loan_status,purpose,dti,revol_util,total_rec_late_fee,grade
 36 months,1068923,8000,RENT,1,62000,Fully Paid,debt_consolidation,21.64,66.90%,15,A
 60 months,1069126,10000,RENT,10,45996,Charged Off,debt_consolidation,21.73,30.10%,1,A
 36 months,1069102,3500,MORTGAGE,7,55000,Fully Paid,debt_consolidation,5.39,45.90%,0,A
 60 months,1069093,12500,RENT,5,30000,Charged Off,debt_consolidation,13.16,70.80%,0,A
 36 months,1069030,16425,RENT,4,44544,Fully Paid,debt_consolidation,22.71,83.40%,0,A
 60 months,1068906,8200,RENT,4,75000,Charged Off,small_business,12.48,73.90%,0,A
 36 months,1069073,15000,OWN,2,61000,Fully Paid,credit_card,11.88,79.50%,0,A
 60 months,1069043,20975,MORTGAGE,5,44000,Fully Paid,credit_card,18.79,79.40%,0,A
 36 months,1060981,6400,RENT,5,75000,Charged Off,debt_consolidation,20.22,67.50%,0,A
 36 months,1069071,3000,RENT,1,33600,Fully Paid,debt_consolidation,18.11,83.20%,0,A
 36 months,1069070,12000,RENT,3,50000,Fully Paid,credit_card,20.57,97%,0,A
 36 months,1068893,14400,OWN,1,150000,Fully Paid,debt_consolidation,14.85,55%,0,A
 36 months,1068882,12000,RENT,10,90000,Fully Paid,debt_consolidation,16.56,78.50%,0,B
 36 months,1069039,11000,MORTGAGE,10,48000,Fully Paid,debt_consolidation,21.82,65%,0,A
 60 months,1068416,7250,RENT,1,75000,Fully Paid,debt_consolidation,24.82,91.20%,0,A
 36 months,1068997,15000,MORTGAGE,1,52000,Fully Paid,small_business,9.65,6.70%,0,A
 60 months,1048390,18000,MORTGAGE,10,65000,Fully Paid,debt_consolidation,6.81,77.80%,23.80000006,A
 60 months,1068994,35000,MORTGAGE,3,150000,Fully Paid,home_improvement,7.51,53.30%,0,A
 36 months,1068475,10000,RENT,2,68000,Fully Paid,credit_card,15.39,81.30%,0,A
 36 months,1068989,11800,RENT,6,42000,Fully Paid,credit_card,9.86,74.80%,0,A
 36 months,1068967,4500,RENT,4,53000,Fully Paid,major_purchase,4.44,13.90%,0,A
 36 months,1068744,7000,RENT,10,35000,Fully Paid,credit_card,11.35,82.30%,0,A
 36 months,1045509,9200,RENT,2,60000,Fully Paid,debt_consolidation,19.96,78.70%,0,A
 60 months,1063958,14000,RENT,4,28000,Current,other,6.34,79.40%,0,A
 60 months,1041756,4500,MORTGAGE,1,42000,Fully Paid,car,5.4,78.30%,0,B
 36 months,1068694,12000,RENT,9,88365,Fully Paid,debt_consolidation,16.85,96.40%,0,B
 36 months,1068792,12000,RENT,4,72000,Fully Paid,debt_consolidation,21.33,27.60%,0,B
 36 months,1068558,12000,RENT,1,62000,Fully Paid,credit_card,23.94,78.40%,0,B
 36 months,1068322,7000,MORTGAGE,3,43680,Fully Paid,credit_card,5.38,78.10%,0,B
 60 months,1065674,8200,RENT,3,120000,Fully Paid,debt_consolidation,2.8,88.40%,0,B
 36 months,1068547,10500,RENT,10,66000,Fully Paid,medical,20.73,51.20%,0,B
 36 months,1068545,7000,OWN,4,39120,Fully Paid,debt_consolidation,21.01,52.40%,0,B
 60 months,1068575,15300,RENT,6,85000,Current,credit_card,20.58,89.70%,0,B
 60 months,1049528,20000,MORTGAGE,4,47800,Fully Paid,debt_consolidation,10.04,46.30%,0,B
 60 months,1068542,17500,MORTGAGE,7,45000,Charged Off,credit_card,21.31,86.10%,0,A
 36 months,1068350,3500,MORTGAGE,10,83000,Fully Paid,car,2.31,13.40%,0,B
 60 months,1067874,6000,RENT,1,81000,Current,major_purchase,13.66,50%,0,B
 36 months,1068509,6200,RENT,2,25000,Charged Off,debt_consolidation,20.64,47.70%,0,B
 60 months,1034693,16000,RENT,7,65000,Current,debt_consolidation,15.56,87.10%,0,A
 36 months,1068508,6000,OWN,8,28800,Fully Paid,debt_consolidation,13.17,36.80%,0,B
 36 months,1066641,7200,RENT,6,135000,Fully Paid,credit_card,6.12,79.60%,0,B
 36 months,1068315,9500,MORTGAGE,7,50000,Fully Paid,credit_card,8.18,60.50%,0,B
 60 months,1068309,18825,RENT,10,38000,Charged Off,debt_consolidation,23.18,79.70%,0,A
 36 months,1068326,24000,RENT,10,45000,Fully Paid,debt_consolidation,14.8,55.20%,0,B
 36 months,1066767,6000,RENT,10,80000,Fully Paid,debt_consolidation,11.58,83.80%,0,A
 36 months,1068484,6000,RENT,5,50000,Fully Paid,debt_consolidation,15.38,91.50%,0,B
 36 months,1068292,2100,MORTGAGE,10,30000,Fully Paid,vacation,19.72,82.90%,30,A
 36 months,1068273,5500,MORTGAGE,8,110000,Fully Paid,small_business,9.69,21.90%,0,A
 36 months,1068274,11000,OWN,8,45608,Fully Paid,debt_consolidation,20.5,58.70%,0,A
 60 months,1068440,26800,MORTGAGE,3,120000,Fully Paid,debt_consolidation,12.15,48%,0,B
 36 months,1046456,8000,MORTGAGE,5,35000,Fully Paid,debt_consolidation,10.05,97.70%,0,A
 36 months,1068012,10000,RENT,1,75000,Charged Off,credit_card,24.14,96.30%,36.24699818,B
 36 months,1055725,8000,MORTGAGE,9,35000,Fully Paid,credit_card,9.7,46.50%,0,A
 36 months,1061814,10000,RENT,6,24000,Fully Paid,debt_consolidation,7,49.50%,0,A
 36 months,1068232,12000,MORTGAGE,2,126000,Fully Paid,debt_consolidation,13.32,54.10%,0,B
 36 months,1068405,10000,RENT,1,43000,Fully Paid,debt_consolidation,25.26,37.20%,0,A
 36 months,1068395,12000,RENT,1,50000,Fully Paid,debt_consolidation,16.44,29.30%,0,A
 60 months,1068202,25000,MORTGAGE,10,67000,Charged Off,credit_card,14.15,91.20%,28.76,B
 36 months,1068006,19750,RENT,4,45000,Charged Off,debt_consolidation,22.8,54.20%,0,A
 36 months,1068075,10000,RENT,3,31200,Fully Paid,debt_consolidation,14.81,27%,0,A
 36 months,1065642,13650,RENT,4,66000,Fully Paid,debt_consolidation,24.09,56.50%,0,A
 60 months,1068179,28000,RENT,10,52000,Charged Off,debt_consolidation,20.7,87.60%,0,B
 36 months,1068158,18000,RENT,10,56964,Fully Paid,debt_consolidation,27.55,76.60%,0,A
 36 months,1068180,2500,RENT,7,49500,Fully Paid,debt_consolidation,10.33,37.70%,0,B
 60 months,1065673,21000,RENT,10,70000,Fully Paid,credit_card,23.21,70.70%,0,B
 36 months,1068159,35000,MORTGAGE,6,125000,Fully Paid,debt_consolidation,22.71,34.80%,0,A
 36 months,1068165,10000,RENT,3,33000,Fully Paid,credit_card,9.75,0.60%,0,A
 36 months,1059689,7000,RENT,1,30000,Fully Paid,credit_card,15.8,47.60%,0,A
 36 months,1066215,24000,MORTGAGE,8,90000,Charged Off,home_improvement,9.17,71.20%,0,B
 36 months,1063270,10625,MORTGAGE,5,23000,Fully Paid,medical,18.89,43.40%,0,A
 36 months,1067931,5000,RENT,2,24000,Fully Paid,debt_consolidation,18.3,33.30%,0,B
 36 months,1067922,8850,RENT,10,62000,Fully Paid,credit_card,17.71,35.90%,0,A
 36 months,1067919,6375,RENT,4,44000,Fully Paid,debt_consolidation,4.8,58%,0,A
 36 months,1068106,6000,RENT,1,90000,Fully Paid,credit_card,2.97,56.60%,0,A
 36 months,1068111,11100,RENT,10,41000,Charged Off,credit_card,29.85,62.30%,0,A
 60 months,1067655,10000,MORTGAGE,2,56000,Fully Paid,debt_consolidation,10.82,31.20%,0,A
 36 months,1060662,6200,MORTGAGE,5,26500,Fully Paid,small_business,18.2,16%,0,A
 36 months,1061304,15000,RENT,1,54000,Fully Paid,debt_consolidation,19.69,90.30%,0,B
 36 months,1068095,4200,RENT,2,53000,Fully Paid,other,16.91,79.70%,0,A
 36 months,1067182,14000,RENT,4,52800,Fully Paid,debt_consolidation,7.36,70.80%,0,B
 36 months,822464,8875,MORTGAGE,1,38000,Fully Paid,debt_consolidation,23.53,62.10%,0,A
 36 months,1063526,13500,RENT,7,38000,Fully Paid,debt_consolidation,12.38,67.30%,0,A
 36 months,1068091,12000,RENT,2,42000,Charged Off,debt_consolidation,7.83,65.40%,0,A
 60 months,1068090,16000,RENT,4,55000,Fully Paid,debt_consolidation,15.8,72.40%,0,B
 60 months,1068082,21600,MORTGAGE,8,60000,Fully Paid,debt_consolidation,16.74,78.10%,0,B
 36 months,1068078,6000,MORTGAGE,6,87000,Fully Paid,home_improvement,12.86,40.50%,0,A
 60 months,1057633,8450,OWN,5,25000,Fully Paid,debt_consolidation,22.51,83.50%,0,B
 60 months,1046204,20000,RENT,1,82000,Fully Paid,credit_card,17.68,61.40%,0,B
 36 months,1067794,10000,RENT,8,60000,Charged Off,debt_consolidation,22.08,29.30%,0,A
 36 months,1067816,12000,MORTGAGE,5,80000,Fully Paid,credit_card,18.18,97.20%,0,B
 60 months,1068018,13475,RENT,10,25000,Charged Off,credit_card,21.89,65.80%,0,B
 36 months,1052996,7200,RENT,5,48000,Fully Paid,major_purchase,17.43,80.20%,15,A
 36 months,1067818,5600,MORTGAGE,1,85000,Charged Off,debt_consolidation,12.24,90.80%,0,B
 36 months,1064842,12000,RENT,1,57000,Fully Paid,debt_consolidation,10.86,81.50%,0,B
 36 months,1067109,8500,RENT,2,25000,Fully Paid,credit_card,1.73,28%,0,A
 36 months,1067971,8000,RENT,2,34000,Fully Paid,credit_card,18.28,78.50%,0,A
 36 months,1057518,8000,RENT,10,40000,Fully Paid,credit_card,15,88.20%,0,A
 60 months,1067473,16000,RENT,10,42656.4,Fully Paid,debt_consolidation,17.44,92.30%,0,B
 36 months,1062177,15000,MORTGAGE,2,44400,Fully Paid,house,3.59,91.60%,0,B
 36 months,1067447,10000,OWN,2,30000,Fully Paid,debt_consolidation,11.24,66.80%,0,A
 36 months,1059412,10000,MORTGAGE,5,70000,Fully Paid,credit_card,16.78,69%,0,A
 36 months,1062608,8000,RENT,3,28000,Fully Paid,car,12.6,54.30%,0,B
 36 months,1067664,22000,MORTGAGE,2,50000,Fully Paid,debt_consolidation,13.22,49.80%,0,A
 36 months,1067441,6000,MORTGAGE,10,94800,Fully Paid,car,24.53,95.90%,0,B
 60 months,1067654,16000,OWN,10,40000,Fully Paid,debt_consolidation,9.39,28.50%,0,A
 36 months,1067644,2500,OWN,n/a,12000,Charged Off,debt_consolidation,16.3,42.20%,0,A
 36 months,1062288,13500,MORTGAGE,2,36000,Fully Paid,credit_card,22.93,67.20%,0,A
 36 months,1067434,25000,RENT,2,225000,Fully Paid,debt_consolidation,8.32,34.60%,0,A
 36 months,1067419,10000,RENT,2,45900,Fully Paid,small_business,24.97,48.30%,0,B
 36 months,1067601,2500,RENT,4,27200,Fully Paid,debt_consolidation,6.44,68.10%,0,B
 36 months,1067579,7325,RENT,1,42000,Fully Paid,debt_consolidation,22.57,65%,0,B
 36 months,1067563,4000,RENT,5,135000,Fully Paid,credit_card,12.12,85.70%,0,A
 36 months,1067364,10000,RENT,5,65000,Charged Off,small_business,6.92,69.50%,0,B
 36 months,1067152,7750,RENT,1,24000,Charged Off,debt_consolidation,16.1,67.10%,0,B
 60 months,1062471,20000,RENT,6,70000,Charged Off,debt_consolidation,16.63,79.90%,0,B
 36 months,1066842,9600,RENT,10,65000,Fully Paid,debt_consolidation,11.65,70.90%,0,A
 60 months,1067126,21000,RENT,3,60000,Charged Off,debt_consolidation,6.62,79.90%,0,A
 36 months,1067326,14000,RENT,3,30000,Fully Paid,credit_card,15.52,65.60%,0,A
 36 months,1066789,13350,RENT,10,43000,Fully Paid,debt_consolidation,20.57,95.30%,0,A
 36 months,1067324,15000,RENT,10,42000,Charged Off,debt_consolidation,19.63,74.90%,0,B
 36 months,1067102,15000,RENT,8,75000,Charged Off,debt_consolidation,16.03,75.90%,0,B
 60 months,1046969,11000,MORTGAGE,10,129000,Current,debt_consolidation,10.94,24.10%,0,B
 36 months,1067084,35000,MORTGAGE,2,168000,Fully Paid,debt_consolidation,3.17,1.40%,0,A
 36 months,1067090,9000,MORTGAGE,9,74000,Fully Paid,credit_card,8.89,71.70%,0,A
 60 months,1060875,22475,MORTGAGE,7,52000,Fully Paid,debt_consolidation,15.23,61.80%,0,B
 36 months,1067265,16000,RENT,1,58500,Charged Off,debt_consolidation,20.64,89.30%,26.83551087,A
 36 months,1067287,13500,RENT,5,71000,Fully Paid,debt_consolidation,11.97,77.70%,0,A
 36 months,1067066,24000,RENT,10,75000,Fully Paid,debt_consolidation,11.6,84.60%,0,A
 36 months,1067283,12000,RENT,5,60000,Fully Paid,credit_card,10.84,48.80%,0,A
 60 months,1067266,8400,RENT,5,87996,Fully Paid,major_purchase,11.35,80.30%,0,B
 60 months,1066635,28000,MORTGAGE,5,140000,Fully Paid,home_improvement,12.07,13.40%,0,B
 36 months,1067026,14000,RENT,10,66000,Fully Paid,debt_consolidation,11.15,35.40%,0,A
 36 months,1067038,12000,MORTGAGE,8,70000,Charged Off,other,8.4,86.20%,0,B
 36 months,1067030,25000,MORTGAGE,10,1.00E+05,Fully Paid,debt_consolidation,6.88,89.10%,0,A
 36 months,1065350,9000,RENT,5,50000,Fully Paid,debt_consolidation,17.81,55.40%,0,A
 36 months,1067028,13250,RENT,4,35000,Fully Paid,debt_consolidation,24.93,58.70%,0,A
 36 months,1061877,20000,RENT,6,75000,Fully Paid,debt_consolidation,22.38,90.80%,0,B
 36 months,1067018,3000,RENT,5,71000,Fully Paid,medical,21.84,88.70%,0,B
 36 months,1067223,7350,MORTGAGE,10,48000,Fully Paid,debt_consolidation,11.93,77.50%,0,A
 36 months,1067004,11500,RENT,5,36000,Fully Paid,debt_consolidation,21.1,76.70%,0,B
 36 months,1031265,13650,MORTGAGE,10,86000,Charged Off,debt_consolidation,12.29,73.40%,0,A
 36 months,1066835,10500,RENT,3,30000,Charged Off,debt_consolidation,15,55.50%,0,B
 36 months,1067181,12000,RENT,2,60000,Fully Paid,debt_consolidation,15.5,85.70%,0,A
 36 months,1067179,6000,RENT,3,34000,Fully Paid,credit_card,14.51,64.80%,0,A
 36 months,1067172,11500,MORTGAGE,10,44200,Fully Paid,credit_card,21.69,90%,0,B
 36 months,1066712,7000,MORTGAGE,7,82000,Fully Paid,debt_consolidation,12,71.60%,0,A
 60 months,1066706,29500,MORTGAGE,6,83000,Fully Paid,debt_consolidation,20.93,89.80%,0,B
 36 months,1066836,2000,RENT,2,41000,Fully Paid,moving,17.74,96.40%,15,B
 36 months,1066826,11625,MORTGAGE,1,36000,Fully Paid,credit_card,19.33,84.70%,0,B
 36 months,1063280,15075,RENT,10,35000,Charged Off,debt_consolidation,20.16,89.60%,0,B
 36 months,1057447,5300,RENT,1,30000,Fully Paid,credit_card,24.88,82.70%,0,B
 36 months,1040867,8200,RENT,1,40000,Fully Paid,home_improvement,11.1,25.50%,0,A
 36 months,1065232,12000,MORTGAGE,9,105000,Fully Paid,credit_card,13.98,75%,0,A
 36 months,1052492,8650,MORTGAGE,4,45000,Fully Paid,credit_card,7.6,58.90%,0,B
 60 months,1066664,21000,MORTGAGE,10,109000,Current,debt_consolidation,7.75,50.30%,0,B
 60 months,1066659,16000,RENT,2,50000,Current,debt_consolidation,11.04,42.20%,0,B
 36 months,1066763,12000,RENT,2,83000,Fully Paid,debt_consolidation,11.81,51.10%,0,A
 36 months,1066798,9500,MORTGAGE,1,52500,Charged Off,moving,23.54,75.30%,0,A
 36 months,1066639,7400,OWN,1,25000,Fully Paid,debt_consolidation,8.45,92.80%,0,B
 36 months,1066633,14400,MORTGAGE,10,60000,Fully Paid,debt_consolidation,16.92,65%,0,B
 60 months,1060644,24250,MORTGAGE,7,120000,Fully Paid,debt_consolidation,12.96,99%,0,B
 36 months,1066766,7200,RENT,3,68000,Charged Off,debt_consolidation,7.98,82.90%,14.97905838,A
 60 months,1066613,26000,MORTGAGE,10,53000,Charged Off,home_improvement,11.77,72.70%,0,B
 60 months,1065648,7000,MORTGAGE,6,69600,Charged Off,credit_card,26.22,90.90%,0,A
 36 months,1066768,4000,RENT,1,65000,Fully Paid,major_purchase,18.17,50.70%,0,A
 36 months,1066617,1500,MORTGAGE,10,144000,Fully Paid,debt_consolidation,8.23,97.80%,0,B
 36 months,1062015,19600,RENT,2,75000,Fully Paid,credit_card,11.62,50.10%,0,A
 36 months,1066598,2500,MORTGAGE,7,29000,Fully Paid,debt_consolidation,18.7,66.70%,0,A
 36 months,1066503,10000,RENT,2,70000,Charged Off,credit_card,2.69,70.20%,0,A
 36 months,1066530,10000,RENT,5,45000,Fully Paid,credit_card,26.85,70.40%,0,A
 36 months,1066520,4225,MORTGAGE,5,55200,Fully Paid,other,17.61,73.70%,0,A
 36 months,1065929,3500,MORTGAGE,7,61440,Fully Paid,vacation,6.46,55.50%,0,A
 36 months,1066582,12000,MORTGAGE,10,56000,Fully Paid,debt_consolidation,13.65,80.30%,0,A
 36 months,1066348,16500,RENT,1,47000,Fully Paid,debt_consolidation,9.06,38.80%,0,A
 60 months,1061430,22000,RENT,1,55000,Fully Paid,debt_consolidation,15.62,79.40%,0,B
 36 months,1061519,12000,RENT,1,71000,Fully Paid,credit_card,14.87,71%,0,B
 60 months,1066344,15600,RENT,10,50000,Charged Off,vacation,5.78,35.70%,0,A
 36 months,1066480,10800,RENT,8,135000,Fully Paid,credit_card,12.12,74.50%,0,A
 36 months,1066471,14000,MORTGAGE,10,63000,Fully Paid,credit_card,7.35,97.80%,0,A
 60 months,1064063,18825,MORTGAGE,4,44000,Current,debt_consolidation,24.98,93.20%,0,B
 36 months,1066318,6000,MORTGAGE,5,50000,Fully Paid,debt_consolidation,15.58,83.60%,0,B
 36 months,1066453,12000,RENT,5,80000,Fully Paid,debt_consolidation,14.83,67.70%,0,A
 36 months,1063090,10000,RENT,4,45000,Fully Paid,debt_consolidation,10.45,51.60%,0,A
 36 months,1061406,8000,RENT,2,78000,Fully Paid,vacation,6.09,55.90%,0,A
 36 months,1066278,14125,RENT,1,33000,Fully Paid,debt_consolidation,23.13,66%,0,A
 36 months,1066281,14000,RENT,5,62800,Fully Paid,debt_consolidation,19.24,64.50%,0,A
 60 months,1056150,13200,RENT,3,26400,Fully Paid,small_business,9.64,50.10%,0,B
 36 months,1066434,4000,MORTGAGE,10,80000,Fully Paid,vacation,20.59,22.60%,0,B
 36 months,1048526,4000,RENT,2,25000,Charged Off,debt_consolidation,6.86,79.70%,0,A
 36 months,1028566,10500,MORTGAGE,10,65000,Fully Paid,debt_consolidation,10.36,18.70%,0,A
 36 months,1066424,5500,OWN,10,59000,Fully Paid,car,6.65,43.30%,0,A
 36 months,1066212,7350,RENT,1,33000,Fully Paid,debt_consolidation,22.51,77.90%,0,A
 36 months,1066232,10000,RENT,10,39000,Charged Off,credit_card,18.31,90.60%,0,A
 36 months,1056219,12000,RENT,10,42000,Fully Paid,debt_consolidation,10.74,43%,14.99999996,A
 60 months,1066199,5000,MORTGAGE,5,38004,Fully Paid,home_improvement,23.78,57.30%,0,A
 60 months,1060851,8000,OWN,3,31000,Fully Paid,other,16.22,34.40%,0,A
 36 months,972383,4500,MORTGAGE,10,50700,Fully Paid,other,23.43,24.40%,0,A
 36 months,1066191,18000,OWN,1,75000,Fully Paid,credit_card,12.51,66.10%,0,A
 60 months,1066173,12300,MORTGAGE,2,30000,Current,debt_consolidation,12.76,55.50%,0,B
 36 months,1066379,12000,RENT,6,40000,Fully Paid,debt_consolidation,15.72,80.50%,0,B
 36 months,1066364,10000,MORTGAGE,10,50000,Fully Paid,credit_card,5.88,47.60%,0,B
 36 months,1066140,6000,MORTGAGE,7,80000,Fully Paid,other,8.87,30.30%,0,A
 36 months,1066171,12000,RENT,4,40000,Fully Paid,debt_consolidation,22.2,55.50%,0,A
 36 months,1066162,12000,RENT,7,80000,Charged Off,other,9.13,83.50%,0,A
 36 months,1040154,7000,RENT,2,75000,Fully Paid,debt_consolidation,15.57,94.10%,0,A
 60 months,1066155,35000,MORTGAGE,8,85000,Fully Paid,debt_consolidation,12,53%,0,B
 36 months,1065382,1400,RENT,1,28800,Fully Paid,other,10,9.90%,0,A
 60 months,1063447,16000,RENT,10,35000,Charged Off,small_business,16.22,58.50%,0,B
 36 months,1065932,3200,RENT,9,61200,Fully Paid,debt_consolidation,2.16,33.30%,0,A
 36 months,1065936,8000,RENT,1,40000,Fully Paid,medical,13.35,34.40%,0,A
 60 months,1066112,11875,RENT,1,25920,Charged Off,debt_consolidation,23.75,94.10%,0,A
 36 months,1066084,5000,MORTGAGE,9,54000,Fully Paid,home_improvement,3.82,4%,0,A
 36 months,1066081,1800,RENT,10,18000,Fully Paid,small_business,23.8,39.80%,0,A
 36 months,1065896,35000,RENT,5,85000,Fully Paid,debt_consolidation,17.73,61.50%,0,A
 36 months,1066065,18000,RENT,5,78000,Fully Paid,credit_card,7,66.30%,0,A
 36 months,1066071,14000,OWN,10,45600,Charged Off,debt_consolidation,19.74,63.90%,0,A
 36 months,1062094,5000,RENT,2,70000,Fully Paid,debt_consolidation,20.06,54.20%,0,A
 36 months,1061154,8000,RENT,4,70000,Fully Paid,credit_card,14.04,91.90%,0,B
 36 months,1066061,10000,MORTGAGE,9,80000,Fully Paid,debt_consolidation,12.99,45.20%,0,A
 36 months,1065863,10000,RENT,5,50000,Fully Paid,debt_consolidation,4.63,25.70%,0,A
 36 months,1065862,12000,MORTGAGE,10,35000,Fully Paid,debt_consolidation,18.51,75.70%,0,A
 36 months,1065854,23200,MORTGAGE,3,65000,Fully Paid,debt_consolidation,27.99,47%,0,A
 60 months,1065145,18000,MORTGAGE,1,84000,Current,credit_card,11.41,83.20%,0,B
 36 months,1062260,4800,MORTGAGE,10,75000,Fully Paid,debt_consolidation,9.3,73.70%,0,B
 36 months,1065842,7300,RENT,6,35000,Fully Paid,debt_consolidation,16.42,44.60%,0,A
